State,Year 3,Year 5,Year 7,Year 9
New South Wales,444.7,513.2,545.6,580.5
Victoria,452.8,519.2,549.8,584.6
Queensland,422.1,500.8,535.2,566.4
South Australia,426.7,503.6,537.2,571.3
Western Australia,428.4,504.9,540.5,585.1
Tasmania,426.0,503.7,538.4,561.1
Northern Territory,371.2,444.6,482.2,521.2
Australian Capital Territory,448.4,521.1,552.4,590.1
